"year";"quarter";"n_games"
2019;1;19722
2019;2;18392
2019;3;17340
2019;4;20739
2020;1;28605
2020;2;62680
2020;3;30939
2020;4;29830
2021;1;29706
2021;2;20504
2021;3;17119
2021;4;22812
2022;1;19932
2022;2;16168
2022;3;18189
2022;4;19119
2023;1;20555
2023;2;20839
2023;3;18340
2023;4;23989
2024;1;23562
2024;2;21817
2024;3;18266
2024;4;20953
