"variantid";"variantname";"order"
"1";"Classic";"2"
"2";"Dungeonbowl";"10"
"3";"Streetbowl";"40"
"4";"Sevens";"7"
"5";"Deathbowl ";"30"
"7";"Beachbowl";"50"
"8";"Online";"3"
"9";"Dungeon 7s";"1100"
"10";"Deathbowl 7s";"1200"
"11";"Specialist";"1300"
"12";"Draft ";"1400"
"13";"Blood Bowl 2020";"1"
"14";"Gutter Bowl";"20"
