,fumbbl_coach_name,naf_link,naf_id
162,Lewdgrip,lewdgrip (21163),21163
163,Undress_,undress_ (29927),29927
164,MurkyWater,no NAF link found,
165,Borknagar85,borknagar85 (33015),33015
166,BdG,bdg (16603),16603
167,Jogrenaught,Jogrenaut (22460),22460
168,Bazakastine,bazakastine (29474),29474
169,Megamind,Megamind (23794),23794
170,HenningEksteen,henningeksteen (33351),33351
171,Rhag,Rhag (34689),34689
172,Serpe,serpe (35864),35864
173,Purplegoo,Purplegoo (11777),11777
174,galentio,galentio (40754),40754
175,Ulrik,Ulrik (10155),10155
176,Hovring,hovring (34738),34738
177,FaMedKing,no NAF link found,
178,Lonewolfjackson,lonewolfjackson (30536),30536
179,Baki,Baki (19064),19064
180,jadawin91,jadawin (28040),28040
181,Ironbreaker,ironbreaker (25312),25312
182,nrKst,nrKst (41269),41269
183,Regor,Regor (40935),40935
184,shiratokai,shiratokai (32539),32539
185,Drrek,drrek (39914),39914
186,Grasshopper,Grasshopper (2344),2344
187,otis,otis (16782),16782
188,jd2rbnds,Rupert (32817),32817
189,Leonek,Leonek (22375),22375
190,Chicken23,no NAF link found,
191,T0mBSt0ne,tombstone33 (36375),36375
192,Siogun,no NAF link found,
193,zootsuitjeff,zootsuitjeff (15338),15338
194,whigwam,whigwam (19291),19291
