,player_id,number,position,rerolls,assistantCoaches,cheerleaders,apothecary,roster.name,team_name,team_id,skill_id,name,coach_name,tournament_id,tournament_name
0,17259761,1,Noble Blitzer,4,0,0,No,Imperial Nobility,[NA] Pimperial Nobility,1236305,364.0,Dodge,TheRedoubt,65090,Super League S7 NA Championship A
1,17259761,1,Noble Blitzer,4,0,0,No,Imperial Nobility,[NA] Pimperial Nobility,1236305,377.0,Frenzy,TheRedoubt,65090,Super League S7 NA Championship A
2,17259762,2,Noble Blitzer,4,0,0,No,Imperial Nobility,[NA] Pimperial Nobility,1236305,364.0,Dodge,TheRedoubt,65090,Super League S7 NA Championship A
3,17259763,3,Bodyguard,4,0,0,No,Imperial Nobility,[NA] Pimperial Nobility,1236305,413.0,Guard,TheRedoubt,65090,Super League S7 NA Championship A
4,17259764,4,Bodyguard,4,0,0,No,Imperial Nobility,[NA] Pimperial Nobility,1236305,413.0,Guard,TheRedoubt,65090,Super League S7 NA Championship A
5,17259765,5,Bodyguard,4,0,0,No,Imperial Nobility,[NA] Pimperial Nobility,1236305,413.0,Guard,TheRedoubt,65090,Super League S7 NA Championship A
6,17259766,6,Bodyguard,4,0,0,No,Imperial Nobility,[NA] Pimperial Nobility,1236305,413.0,Guard,TheRedoubt,65090,Super League S7 NA Championship A
7,17259767,7,Imperial Retainer Lineman,4,0,0,No,Imperial Nobility,[NA] Pimperial Nobility,1236305,375.0,Dirty Player,TheRedoubt,65090,Super League S7 NA Championship A
8,17259768,8,Imperial Retainer Lineman,4,0,0,No,Imperial Nobility,[NA] Pimperial Nobility,1236305,,,TheRedoubt,65090,Super League S7 NA Championship A
9,17259769,9,Imperial Retainer Lineman,4,0,0,No,Imperial Nobility,[NA] Pimperial Nobility,1236305,,,TheRedoubt,65090,Super League S7 NA Championship A
10,17259770,10,Imperial Retainer Lineman,4,0,0,No,Imperial Nobility,[NA] Pimperial Nobility,1236305,,,TheRedoubt,65090,Super League S7 NA Championship A
11,17259771,11,Imperial Retainer Lineman,4,0,0,No,Imperial Nobility,[NA] Pimperial Nobility,1236305,,,TheRedoubt,65090,Super League S7 NA Championship A
12,17259772,12,Imperial Retainer Lineman,4,0,0,No,Imperial Nobility,[NA] Pimperial Nobility,1236305,,,TheRedoubt,65090,Super League S7 NA Championship A
13,17259773,13,Imperial Retainer Lineman,4,0,0,No,Imperial Nobility,[NA] Pimperial Nobility,1236305,,,TheRedoubt,65090,Super League S7 NA Championship A
14,99999999,99,,4,0,0,No,Imperial Nobility,[NA] Pimperial Nobility,1236305,,,TheRedoubt,65090,Super League S7 NA Championship A
15,17260259,1,Altern Forest Treeman,2,0,0,No,Halfling,[EU]Barefoot Demi-Gods,1236339,373.0,Block,Harpick,65074,Super League S7 EU Bottom Swiss
16,17260260,2,Altern Forest Treeman,2,0,0,No,Halfling,[EU]Barefoot Demi-Gods,1236339,373.0,Block,Harpick,65074,Super League S7 EU Bottom Swiss
17,17260263,5,Halfling Hopeful Lineman,2,0,0,No,Halfling,[EU]Barefoot Demi-Gods,1236339,-1.0,,Harpick,65074,Super League S7 EU Bottom Swiss
18,17260264,6,Halfling Hopeful Lineman,2,0,0,No,Halfling,[EU]Barefoot Demi-Gods,1236339,-1.0,,Harpick,65074,Super League S7 EU Bottom Swiss
19,17260265,7,Halfling Hopeful Lineman,2,0,0,No,Halfling,[EU]Barefoot Demi-Gods,1236339,-1.0,,Harpick,65074,Super League S7 EU Bottom Swiss
20,17260266,8,Halfling Hopeful Lineman,2,0,0,No,Halfling,[EU]Barefoot Demi-Gods,1236339,-1.0,,Harpick,65074,Super League S7 EU Bottom Swiss
21,17260266,8,Halfling Hopeful Lineman,2,0,0,No,Halfling,[EU]Barefoot Demi-Gods,1236339,-1.0,,Harpick,65074,Super League S7 EU Bottom Swiss
22,17260267,9,Halfling Hopeful Lineman,2,0,0,No,Halfling,[EU]Barefoot Demi-Gods,1236339,-1.0,,Harpick,65074,Super League S7 EU Bottom Swiss
23,17260268,10,Halfling Hopeful Lineman,2,0,0,No,Halfling,[EU]Barefoot Demi-Gods,1236339,,,Harpick,65074,Super League S7 EU Bottom Swiss
