"","coach_name","tournament_name","roster.name","naf_id","ranking","best_ranking","X","Naf.nick","Coach.rating","Alltime.high","Year.high","Country","Naf.games.played","Win.procent","order","division"
"34","Beltroniko","Super League S6 EU Div 1C","Vampire",36563,195.01,205.31,NA,"Beltroniko",236.72,240.15,240.15,"Portugal","69 (45/11/13)",73.19,203,"01 – EU Div 1"
"35","DrHellboy_","Super League S6 EU Div 1C","Lizardmen",26611,193.62,193.62,NA,"DrHellboy_",207.95,239.24,217.47,"Wales","192 (86/55/51)",59.11,203,"01 – EU Div 1"
"36","Tuga","Super League S6 EU Div 1C","Orc",24918,193.28,205.64,NA,"MarcosGrande",230,239.55,239.55,"Portugal","88 (40/26/22)",60.23,203,"01 – EU Div 1"
"37","Candlejack","Super League S6 EU Div 1C","Shambling Undead",5844,191.39,215.21,NA,"Candlejack",240.51,275.32,240.51,"Germany","829 (439/150/240)",62,203,"01 – EU Div 1"
"38","HRNSUP","Super League S6 EU Div 1C","Vampire",22063,176.72,202.14,NA,"horns_up",224.01,238.77,231.22,"United States of America","196 (102/42/52)",62.76,203,"01 – EU Div 1"
"39","LemonheadWallenstein","Super League S6 EU Div 1C","Norse",22662,168.53,170.29,NA,"Lemonhead_Wallenstein",180.59,200.72,183.69,"Tonga","119 (44/34/41)",51.26,203,"01 – EU Div 1"
"40","jonno","Super League S6 EU Div 1C","Elven Union",20251,NA,195.64,NA,"Jonno",223.39,229.5,229.5,"Denmark","243 (89/66/88)",50.21,203,"01 – EU Div 1"
"41","Grzechu","Super League S6 EU Div 1D","Wood Elf",30403,243.51,243.51,NA,"Grzechu",267.7,267.7,267.7,"Poland","162 (84/49/29)",66.98,204,"01 – EU Div 1"
"42","Valen","Super League S6 EU Div 1D","Dwarf",1538,202.18,207.31,NA,"Valen",228.05,257.73,257.73,"Scotland","650 (337/118/195)",60.92,204,"01 – EU Div 1"
"43","HenningEksteen","Super League S6 EU Div 1D","Orc",33351,200.65,200.65,NA,"henningeksteen",244.8,254.14,254.14,"Netherlands","150 (75/40/35)",63.33,204,"01 – EU Div 1"
"44","Bazakastine","Super League S6 EU Div 1D","Amazon",29474,178.83,198.3,NA,"bazakastine",254.13,273.4,257.69,"United States of America","106 (71/20/15)",76.42,204,"01 – EU Div 1"
"45","MacHurto","Super League S6 EU Div 1D","Vampire",24314,161.96,196.32,NA,"machurto",202.94,243.94,243.94,"Denmark","144 (67/40/37)",60.42,204,"01 – EU Div 1"
