"","coach_name","tournament_name","roster.name","naf_id","ranking","best_ranking","X","Naf.nick","Coach.rating","Year.high","Country","Alltime.high","Current.streak.without.loss","Longest.streak.without.loss","Naf.games.played","Win.procent","order"
"37","Candlejack","Super League S6 EU Div 1C","Shambling Undead",5844,191.39,215.21,NA,"Candlejack",221.15,267.33,"Germany",275.32,0,13,"775 (408/140/227)",61.68,203
"38","HRNSUP","Super League S6 EU Div 1C","Vampire",22063,176.72,202.14,NA,"horns_up",214.27,220.51,"United States of America",237.35,2,13,"169 (88/37/44)",63.02,203
"39","LemonheadWallenstein","Super League S6 EU Div 1C","Norse",22662,168.53,170.29,NA,"Lemonhead_Wallenstein",191.59,200.72,"Tonga",200.72,0,11,"98 (36/30/32)",52.04,203
"40","jonno","Super League S6 EU Div 1C","Elven Union",20251,NA,195.64,NA,"Jonno",202.53,208.68,"Denmark",208.68,0,11,"216 (75/60/81)",48.61,203
"41","Grzechu","Super League S6 EU Div 1D","Wood Elf",30403,243.51,243.51,NA,"Grzechu",224.17,237.06,"Poland",237.06,3,22,"124 (58/40/26)",62.9,204
"42","Valen","Super League S6 EU Div 1D","Dwarf",1538,202.18,207.31,NA,"Valen",236.56,242.58,"Scotland",242.99,0,14,"626 (326/110/190)",60.86,204
"43","HenningEksteen","Super League S6 EU Div 1D","Orc",33351,200.65,200.65,NA,"henningeksteen",208.42,216.21,"Netherlands",216.21,1,15,"96 (42/26/28)",57.29,204
"44","Bazakastine","Super League S6 EU Div 1D","Amazon",29474,178.83,198.3,NA,"bazakastine",244.89,273.4,"United States of America",273.4,8,13,"78 (53/15/10)",77.56,204
"45","MacHurto","Super League S6 EU Div 1D","Vampire",24314,161.96,196.32,NA,"machurto",238.38,238.96,"Denmark",242.91,8,8,"118 (57/33/28)",62.29,204
"46","rodvil","Super League S6 EU Div 1D","Underworld Denizens",24496,156.9,176.88,NA,"rodvil",186.01,205.86,"Portugal",205.86,0,15,"133 (48/39/46)",50.75,204
"47","Sharkrudi","Super League S6 EU Div 1D","Lizardmen",16542,136.41,165.36,NA,"sharkrudi",160.47,161.67,"France",161.67,2,5,"37 (10/13/14)",44.59,204
"48","Al_Daz","Super League S6 EU Div 1D","Elven Union",32763,NA,190.09,NA,"Al_Daz",171.39,223.92,"France",223.92,0,8,"74 (27/21/26)",50.68,204
"49","seanh1986","Super League S6 EU Div 2A","Amazon",23461,211.29,215.79,NA,"seanh1986",250.56,276.77,"Canada",276.77,0,13,"312 (175/73/64)",67.79,301
"50","cyg-Obsidian","Super League S6 EU Div 2A","Vampire",21201,184.63,230.37,NA,"obsidian",262.22,279.03,"France",279.03,0,21,"417 (211/106/100)",63.31,301
"51","Bingoman","Super League S6 EU Div 2A","Necromantic Horror",29666,176.76,176.76,NA,"Bingoman",189.64,194.92,"Germany",194.92,0,6,"72 (26/14/32)",45.83,301
"52","ClayInfinity","Super League S6 EU Div 2A","Old World Alliance",8442,146.25,197.94,NA,"ClayInfinity",206.98,241.2,"Australia",241.2,0,16,"187 (93/43/51)",61.23,301
"53","cdassak","Super League S6 EU Div 2A","Old World Alliance",26050,NA,205.78,NA,"cdassak",237.91,239.72,"Greece",245.64,11,22,"86 (52/24/10)",74.42,301
"54","Rubick","Super League S6 EU Div 2A","Chaos Renegade",17243,NA,210.41,NA,"Rubick",221.15,228.22,"Wales",233.15,1,13,"496 (240/117/139)",60.18,301
"55","Hal976","Super League S6 EU Div 2A","High Elf",33257,NA,147.61,NA,"hal976",130.41,132.51,"Italy",146.6,0,2,"12 (0/5/7)",20.83,301
"56","uncertain","Super League S6 EU Div 2A","Elven Union",13715,NA,204.21,NA,"Narok",210.2,239.66,"Germany",239.66,2,13,"249 (113/63/73)",58.03,301
"57","speedingbullet","Super League S6 EU Div 2B","Wood Elf",16845,206.38,206.38,NA,"speedingbullet",220.4,244.17,"England",246.46,3,12,"255 (130/60/65)",62.75,302
"58","Bojo","Super League S6 EU Div 2B","Tomb Kings",7539,160.89,219.07,NA,"Lord_Bojo",197.39,241.47,"Guadeloupe",248.43,1,22,"678 (306/182/190)",58.55,302
"59","Dodge22","Super League S6 EU Div 2B","Orc",32391,160.03,189.15,NA,"dodge22",194.87,210.97,"England",210.97,0,11,"122 (54/30/38)",56.56,302
"60","Rhag","Super League S6 EU Div 2B","Dark Elf",34689,157.55,180.8,NA,"Rhag",162.93,162.93,"Finland",162.93,2,5,"46 (15/13/18)",46.74,302
"61","Thernlow","Super League S6 EU Div 2B","High Elf",25614,153.73,161.65,NA,"Thernlow",185.5,199.76,"Norway",199.76,6,11,"113 (42/37/34)",53.54,302
"62","Topas","Super League S6 EU Div 2B","Chaos Chosen",22100,146.45,205.71,NA,"topas",204.62,229.49,"Germany",229.76,0,19,"256 (117/71/68)",59.57,302
"63","outcaarst","Super League S6 EU Div 2B","High Elf",15546,144.69,190.64,NA,"outcaarst",197.21,213.15,"Austria",213.15,0,7,"180 (79/38/63)",54.44,302
"64","chaoskopp","Super League S6 EU Div 2B","Vampire",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,302
"65","Tonalt","Super League S6 EU Div 2C","Amazon",7503,236.6,236.6,NA,"Tonalt",238.22,258.98,"Finland",258.98,2,13,"195 (94/65/36)",64.87,303
"66","ratogre","Super League S6 EU Div 2C","Shambling Undead",22007,213,213,NA,"RatOgre",217.61,224.85,"Finland",224.85,1,15,"225 (91/68/66)",55.56,303
"67","GreenskinPhil","Super League S6 EU Div 2C","Slann",31674,197.52,197.52,NA,"greenskinphil",231.47,233.02,"England",233.02,1,15,"245 (102/74/69)",56.73,303
"68","Bashto","Super League S6 EU Div 2C","Amazon",32021,173.71,229.91,NA,"Bashto",245.04,250.62,"England",250.62,0,7,"112 (57/22/33)",60.71,303
"69","Jblackmane","Super League S6 EU Div 2C","Orc",31370,161.98,174.03,NA,"jblackmane",194.99,203.65,"Netherlands",203.65,0,5,"62 (31/10/21)",58.06,303
"70","bjarnefar","Super League S6 EU Div 2C","Orc",30624,157.17,168.09,NA,"bjarnefar",176.38,188.4,"Denmark",188.4,1,6,"39 (18/7/14)",55.13,303
"71","paperbag4","Super League S6 EU Div 2C","Dwarf",17898,149.26,167.34,NA,"paperbag4",200.25,200.25,"United States of America",200.25,7,7,"63 (29/8/26)",52.38,303
"72","Nime_l_Ancien","Super League S6 EU Div 2C","Elven Union",17768,NA,212.75,NA,"Nîme_l_Ancien",232.97,256.07,"France",256.07,1,19,"194 (91/47/56)",59.02,303
"73","yudlugar","Super League S6 EU Div 2D","Goblin",28903,210.61,210.61,NA,"Yudlugar",205.02,224.89,"England",224.89,2,9,"167 (74/51/42)",59.58,304
"74","Mind_Locker","Super League S6 EU Div 2D","Necromantic Horror",29192,194.52,194.52,NA,"Mind_Locker",206.55,206.55,"Greece",206.55,9,9,"77 (32/25/20)",57.79,304
"75","Sandune","Super League S6 EU Div 2D","Orc",15142,190.3,220.46,NA,"Sandune",260.5,275,"New Zealand",275,5,15,"251 (149/58/44)",70.92,304
"76","dragonborn","Super League S6 EU Div 2D","Amazon",22580,183.36,183.36,NA,"dragonborn",196.46,206.94,"England",224.62,1,18,"106 (44/28/34)",54.72,304
"77","Edwin","Super League S6 EU Div 2D","Human",25301,174.7,199.99,NA,"Edwin",233.29,252.96,"Netherlands",252.96,0,11,"244 (117/57/70)",59.63,304
"78","Schwifty","Super League S6 EU Div 2D","Skaven",2714,136.47,196.24,NA,"Schwifty",239.93,239.93,"Netherlands",239.93,5,11,"678 (295/128/255)",52.95,304
"79","Farandole","Super League S6 EU Div 2D","Tomb Kings",33363,NA,206.59,NA,"half",228.94,230.79,"France",230.79,1,7,"39 (26/3/10)",70.51,304
"80","Christian","Super League S6 EU Div 2D","Elven Union",16955,NA,199.56,NA,"Waterboy",200.83,210.32,"Denmark",218.4,0,17,"106 (44/32/30)",56.6,304
"81","Oventa","Super League S6 EU Div 3A","Dwarf",9610,212.14,212.14,NA,"Oventa",226.82,233.6,"Germany",252.44,1,14,"414 (211/98/105)",62.8,401
"82","AmazingGaze","Super League S6 EU Div 3A","Vampire",32634,201.08,201.08,NA,"AmazingGaze",220.71,220.71,"Germany",220.71,4,9,"57 (26/18/13)",61.4,401
"83","Jopotzuki","Super League S6 EU Div 3A","Vampire",20783,169.01,180.55,NA,"jopotzuki",196.41,214.97,"Finland",214.97,1,9,"299 (117/73/109)",51.34,401
"84","pedro_fgomes","Super League S6 EU Div 3A","Orc",26033,155.48,179.16,NA,"karnuss",179.84,205.99,"Portugal",205.99,0,7,"130 (54/35/41)",55,401
"85","Padster61","Super League S6 EU Div 3A","Nurgle",26810,138.99,173,NA,"Padster",162.1,192.56,"North Ireland",192.56,0,11,"321 (105/93/123)",47.2,401
"86","Coewolf","Super League S6 EU Div 3A","Elven Union",23332,NA,183.81,NA,"coewolf",202.81,209.64,"Czech Republic",221.53,0,8,"211 (81/49/81)",50,401
"87","Widram","Super League S6 EU Div 3A","Gnome",26904,NA,167.79,NA,"Widram",150.69,195.84,"Wales",195.84,1,9,"117 (41/26/50)",46.15,401
"88","Doc_Grotznik","Super League S6 EU Div 3A","Imperial Nobility",9659,NA,178.26,NA,"Doc_Grotznik",169.49,183.79,"France",210.09,0,8,"231 (77/49/105)",43.94,401
