"","coach_name","tournament_name","roster.name","naf_id","ranking","best_ranking","X","Naf.nick","Coach.rating","Year.high","Country","Alltime.high","Current.streak.without.loss","Longest.streak.without.loss","Naf.games.played","Win.procent","order"
"154","MurkyWater","Super League S6 EU Swiss A","Necromantic Horror",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,501
"155","giorngiovanna","Super League S6 EU Swiss A","Amazon",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,501
"156","gsverhoeven","Super League S6 EU Swiss A","Amazon",29736,NA,157.49,NA,"gsverhoeven",108.42,126.18,"Netherlands",151.34,0,4,"75 (16/19/40)",34,501
"157","cornishwoon","Super League S6 EU Swiss A","Vampire",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,501
"158","M1le","Super League S6 EU Swiss A","Skaven",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,501
"159","bicycleboywill","Super League S6 EU Swiss A","Shambling Undead",31685,NA,169.35,NA,"BBWill",155.61,155.61,"England",155.61,2,4,"22 (6/5/11)",38.64,501
"160","TheArtemisBlack","Super League S6 EU Swiss A","Dwarf",27588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501
"161","thulean","Super League S6 EU Swiss B","Amazon",28239,221.55,221.55,NA,"thulean",244.56,252.5,"England",252.5,1,7,"184 (101/34/49)",64.13,9999
"162","sann0638","Super League S6 EU Swiss B","Amazon",8866,214.27,217.99,NA,"sann0638",246.78,246.78,"Scotland",255.61,7,18,"607 (306/127/174)",60.87,9999
"163","Fuel","Super League S6 EU Swiss B","Dwarf",28517,209.66,209.66,NA,"Fuel",205.51,206.2,"Lithuania",206.2,2,10,"45 (24/12/9)",66.67,9999
"164","jd2rbnds","Super League S6 EU Swiss B","Chaos Chosen",32817,208.88,208.88,NA,"Rupert",211.67,218.58,"Poland",218.58,1,11,"94 (41/25/28)",56.91,9999
"165","Undress_","Super League S6 EU Swiss B","Slann",29927,204.48,204.48,NA,"undress_",224.08,248.61,"On a deserted island",248.61,7,17,"127 (65/35/27)",64.96,9999
"166","dementor42","Super League S6 EU Swiss B","Amazon",21143,203.78,209.88,NA,"Pegleg",253.3,260.77,"Wales",260.77,3,16,"319 (114/69/136)",46.55,9999
"167","TalonBay","Super League S6 EU Swiss B","Underworld Denizens",6858,201.84,201.84,NA,"TalonBay",224.9,237.41,"Scotland",237.41,0,9,"189 (97/30/62)",59.26,9999
"168","Dadde","Super League S6 EU Swiss B","Vampire",15027,198.21,198.21,NA,"dadde",211.95,217.69,"Italy",217.69,1,9,"103 (44/22/37)",53.4,9999
"169","spoboyle","Super League S6 EU Swiss B","Amazon",22121,186.46,186.46,NA,"spob",190.15,203.17,"England",203.17,0,8,"147 (59/34/54)",51.7,9999
"170","WoZoI","Super League S6 EU Swiss B","Dark Elf",30779,184.62,184.62,NA,"wozoi",202.49,202.49,"France",207.42,5,6,"138 (49/37/52)",48.91,9999
"171","MontelGee","Super League S6 EU Swiss B","Orc",35493,179.22,179.22,NA,"montelleke",193.37,193.37,"Belgium",193.37,4,5,"25 (14/6/5)",68,9999
"172","stikman","Super League S6 EU Swiss B","Dwarf",23806,177.77,177.77,NA,"Stikman",158.73,199.17,"Poland",199.17,0,11,"129 (48/29/52)",48.45,9999
"173","palmtaiga","Super League S6 EU Swiss B","Vampire",27077,171.68,171.68,NA,"Palmtaiga",163.55,163.55,"Malta",163.55,1,6,"160 (47/37/76)",40.94,9999
"174","brinu","Super League S6 EU Swiss B","Shambling Undead",30476,171.27,184.08,NA,"Brinu",196.93,196.93,"Malta",196.93,2,10,"69 (26/17/26)",50,9999
"175","Oren","Super League S6 EU Swiss B","Shambling Undead",26068,170.2,191.75,NA,"Oren",226.49,240.97,"Poland",240.97,0,8,"218 (91/49/78)",52.98,9999
"176","graysonstark","Super League S6 EU Swiss B","Necromantic Horror",33608,169.28,169.28,NA,"graysonstark",194.23,194.23,"Ukraine",194.23,11,11,"57 (22/17/18)",53.51,9999
"177","Waschik","Super League S6 EU Swiss B","Chaos Dwarf",31728,160.54,176.2,NA,"Waschik",175.45,181.91,"Czech Republic",181.91,0,8,"101 (42/18/41)",50.5,9999
"178","Zazu_87","Super League S6 EU Swiss B","Necromantic Horror",34604,159.83,159.83,NA,"Zazu",172.12,177.52,"Malta",177.52,1,8,"90 (25/30/35)",44.44,9999
"179","Dakyrus","Super League S6 EU Swiss B","Necromantic Horror",25478,159.06,170.1,NA,"Dakyrus",184.14,203.64,"North Ireland",203.64,1,8,"69 (29/21/19)",57.25,9999
"180","Ragrati","Super League S6 EU Swiss B","Vampire",36237,158.63,165.33,NA,"ragrati",175.71,181.23,"France",181.23,2,6,"27 (13/5/9)",57.41,9999
"181","elplanet4","Super League S6 EU Swiss B","Chaos Renegade",30428,156.18,214.95,NA,"elplanet4",238.72,288,"England",288,0,29,"192 (109/54/29)",70.83,9999
"182","naytsyrhc","Super League S6 EU Swiss B","Vampire",27808,155.26,188.6,NA,"naytsyrhc",171.67,175.34,"Germany",182.38,0,5,"83 (33/16/34)",49.4,9999
"183","il-Fieres","Super League S6 EU Swiss B","Chaos Dwarf",26579,152.79,156.53,NA,"Fieres",168.87,176.25,"Malta",184.19,0,10,"152 (48/56/48)",50,9999
"184","kosmo","Super League S6 EU Swiss B","Shambling Undead",39313,151.55,186.04,NA,"Kosmo",138.07,154.52,"Poland",154.52,0,1,"6 (1/1/4)",25,9999
"185","bamfuzi","Super League S6 EU Swiss B","Orc",29314,149.59,151.76,NA,"bamfuzi",122.62,126.22,"Austria",144.29,0,0,"7 (0/0/7)",0,9999
"186","Ferra76","Super League S6 EU Swiss B","Skaven",20226,144.49,176.84,NA,"ferra",204.16,224.97,"Italy",234.06,0,10,"395 (143/118/134)",51.14,9999
"187","elodius","Super League S6 EU Swiss B","Wood Elf",26080,141.31,165.37,NA,"elodius",142.65,157.56,"Belgium",175.74,3,6,"63 (23/13/27)",46.83,9999
"188","Gallo","Super League S6 EU Swiss B","Chaos Chosen",20999,138.86,198.25,NA,"Gallo",213.07,231.64,"Italy",231.64,0,10,"288 (104/87/97)",51.22,9999
"189","Elkantar","Super League S6 EU Swiss B","Orc",22316,123.27,169.11,NA,"Elkantar",176.72,176.72,"Germany",178.35,2,7,"165 (53/36/76)",43.03,9999
"190","RobinFern","Super League S6 EU Swiss B","Chaos Renegade",37141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9999
"191","gumbi","Super League S6 EU Swiss B","Elven Union",9259,NA,192.45,NA,"gumbi",225.07,231.92,"Australia",231.92,5,9,"165 (71/40/54)",55.15,9999
"192","aggborough","Super League S6 EU Swiss B","Imperial Nobility",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,9999
"193","Baaalthazar","Super League S6 EU Swiss B","Vampire",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,9999
"194","Pastigon","Super League S6 EU Swiss B","Skaven",40777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9999
"195","Hiliadan","Super League S6 EU Swiss B","Dark Elf",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,9999
"196","Mournival","Super League S6 EU Swiss B","Human",23496,NA,209.83,NA,"Mournival",176.83,213.69,"Scotland",213.69,4,11,"190 (75/50/65)",52.63,9999
"197","roxana","Super League S6 EU Swiss B","Shambling Undead",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,9999
"198","Chicken23","Super League S6 EU Swiss B","Black Orc",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,9999
"199","Jäärä","Super League S6 EU Swiss B","Norse",17371,NA,163.53,NA,"Jäärä",171.05,171.05,"Finland",176.45,3,9,"80 (30/20/30)",50,9999
"200","mudarra93","Super League S6 EU Swiss B","Slann",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,9999
"201","Grither","Super League S6 NA Swiss","Dwarf",10904,207.82,253.71,NA,"Grither",248.91,269.89,"United States of America",301.3,1,22,"653 (438/111/104)",75.57,1000
"202","g0nez0","Super League S6 NA Swiss","Wood Elf",37132,204.95,204.95,NA,"G0NEZ0",136.16,153.41,"Canada",153.41,0,3,"16 (4/2/10)",31.25,1000
"203","warpstone","Super League S6 NA Swiss","Skaven",13205,203.89,235.8,NA,"Warpstone",247.97,276.46,"Canada",276.46,3,21,"142 (89/31/22)",73.59,1000
"204","AmazingGaze","Super League S6 NA Swiss","Vampire",32634,201.08,201.08,NA,"AmazingGaze",220.71,220.71,"Germany",220.71,4,9,"57 (26/18/13)",61.4,1000
"205","JLeav","Super League S6 NA Swiss","Amazon",33751,197.6,222.56,NA,"jleav",267.42,267.76,"United States of America",267.76,3,25,"113 (81/17/15)",79.2,1000
"206","Laika123","Super League S6 NA Swiss","Amazon",33566,189.01,189.01,NA,"laika",223.68,223.68,"Canada",223.68,8,8,"49 (30/8/11)",69.39,1000
"207","Xtreme","Super League S6 NA Swiss","Dwarf",1315,187.5,187.5,NA,"Xtreme",217.42,221.65,"United States of America",221.65,2,13,"476 (231/103/142)",59.35,1000
"208","seanh1986","Super League S6 NA Swiss","Shambling Undead",23461,186.01,215.79,NA,"seanh1986",250.56,276.77,"Canada",276.77,0,13,"312 (175/73/64)",67.79,1000
"209","russcastronovo","Super League S6 NA Swiss","Amazon",18550,182.82,190.52,NA,"russcastronovo",240.2,240.2,"United States of America",240.2,3,15,"170 (76/39/55)",56.18,1000
"210","Xanzian","Super League S6 NA Swiss","Chaos Dwarf",6193,179.82,200.01,NA,"szrlm",199.81,214.33,"United States of America",223.91,3,10,"438 (170/79/189)",47.83,1000
"211","Bazakastine","Super League S6 NA Swiss","Vampire",29474,178.86,198.3,NA,"bazakastine",244.89,273.4,"United States of America",273.4,8,13,"78 (53/15/10)",77.56,1000
"212","Jogrenaught","Super League S6 NA Swiss","Khorne",22460,178.04,208.33,NA,"Jogrenaut",202.44,241.89,"United States of America",244.15,2,14,"286 (151/68/67)",64.69,1000
"213","DaCrusha","Super League S6 NA Swiss","Amazon",16105,173.52,173.52,NA,"DaCrusha",146.62,162.24,"United States of America",191.55,0,4,"90 (32/21/37)",47.22,1000
"214","Meerkul","Super League S6 NA Swiss","Orc",28335,173.05,208.5,NA,"Meerkul",222.9,222.91,"Canada",223.71,7,10,"204 (95/48/61)",58.33,1000
"215","Pauladin","Super League S6 NA Swiss","Vampire",24875,172.75,228.03,NA,"pauladin",228.31,236.45,"United States of America",236.45,9,14,"149 (80/25/44)",62.08,1000
"216","guitwiz","Super League S6 NA Swiss","Dwarf",33710,169.81,190.75,NA,"guitamasta",206.22,206.22,"Canada",206.22,8,8,"86 (37/18/31)",53.49,1000
"217","Grimfoe","Super League S6 NA Swiss","Vampire",24873,169.15,189.37,NA,"grimfoe",215.36,216.25,"United States of America",216.25,6,11,"142 (74/33/35)",63.73,1000
"218","TheRedoubt","Super League S6 NA Swiss","Nurgle",37895,169.01,169.01,NA,"theredoubt",175.59,175.59,"On a deserted island",175.59,6,6,"6 (5/1/0)",91.67,1000
"219","Midris","Super League S6 NA Swiss","Vampire",31166,155.14,174.68,NA,"midris",176.03,176.03,"United States of America",180.92,2,6,"45 (24/5/16)",58.89,1000
"220","DiscoJones","Super League S6 NA Swiss","Shambling Undead",37410,150.94,150.94,NA,"discojones",153.84,153.84,"On a deserted island",153.84,1,1,"4 (2/0/2)",50,1000
"221","paulc899","Super League S6 NA Swiss","Shambling Undead",6654,149.58,179.82,NA,"Paul",173.54,173.54,"Canada",187.56,4,7,"60 (31/8/21)",58.33,1000
"222","paperbag4","Super League S6 NA Swiss","Dwarf",17898,149.26,167.34,NA,"paperbag4",200.25,200.25,"United States of America",200.25,7,7,"63 (29/8/26)",52.38,1000
"223","Supernintendochalmer","Super League S6 NA Swiss","Dwarf",31366,147.41,151.56,NA,"supernintendochalmer",142.4,151.1,"Canada",170.46,1,5,"94 (31/11/52)",38.83,1000
"224","CoachBB","Super League S6 NA Swiss","High Elf",18958,142.18,166.37,NA,"coachbb",146.72,150.35,"United States of America",160.11,1,4,"62 (23/10/29)",45.16,1000
"225","Runbad","Super League S6 NA Swiss","Norse",33324,137.55,226.96,NA,"runbad",200.76,211.16,"Canada",211.16,3,8,"115 (50/28/37)",55.65,1000
"226","Chuk","Super League S6 NA Swiss","Elven Union",38058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000
"227","simplysutphin","Super League S6 NA Swiss","Slann",29783,NA,164.4,NA,"Sutphin",128.8,128.8,"United States of America",148.92,1,3,"21 (4/3/14)",26.19,1000
"228","trefenwyd","Super League S6 NA Swiss","Shambling Undead",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,1000
"229","HouseBlackfyre","Super League S6 NA Swiss","Elven Union",28534,NA,186.11,NA,"houseblackfyre",194.46,231.26,"United States of America",231.26,0,14,"304 (147/73/84)",60.36,1000
"230","ogjaylowe","Super League S6 NA Swiss","Vampire",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,1000
"231","Drakenspear","Super League S6 NA Swiss","Elven Union",28841,NA,223.33,NA,"Drakenspear",218.81,262.55,"Canada",262.55,5,21,"189 (102/45/42)",65.87,1000
"232","Dirtygit","Super League S6 NA Swiss","Elven Union",19152,NA,220.31,NA,"Bastich",226.63,262.16,"Canada",262.16,1,26,"107 (67/22/18)",72.9,1000
"233","happygrue","Super League S6 NA Swiss","Vampire",16876,NA,199.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000
"234","Thorven23","Super League S6 NA Swiss","Human",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"",NA,1000
